naslov	opis
Batman za vedno (1995)	Batman must battle Two-Face and The Riddler with help of an amourous psychologist and a young circus acrobat who becomes his sidekick, Robin.
Secret Diary of a Call Girl (2007– )	Based on the popular diary of the anonymous sex worker known only as Belle de Jour.
Skrlatna plima (1995)	On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.
Crumb (1994)	An intimate portrait of the controversial cartoonist and his traumatized family.
Desperado (1995)	A gunslinger is embroiled in a war with a local drug runner.
The Doom Generation (1995)	Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex and violence-filled journey through an America of psychos and quickiemarts.
Moj prijatelj Willy 2 (1995)	Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.
Mad Love (2011)	Revolves around a quartet of single friends in New York City-- two who are falling in love and two who despise each other, at least initially.
Nadja (1994)	This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of ... See full summary »

Zadnji dnevi (1995)	A former cop turned street-hustler accidentally uncovers a police conspiracy in 1999 Los Angeles.
Hvala za vse (1995)	Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.
Billy Madison (1995)	In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.
Trgovci (1994)	A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.
Razkritje (1994)	A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.
Dolores Claiborne (1995)	A big-city reporter travels to the small town where her mother has been arrested for the murder of an elderly woman that she works for as a maid.
Yin shi nan nu (1994)	A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.
Exotica (1994)	The 'Exotica' is a nightclub on the outskirts of Toronto, where Eric, DJ and MC, watches nightly as his ex-girlfriend Christina performs. Watches jealously, especially as far as the extra ... See full summary »
Ed Wood (1994)	An ambitious but troubled movie director tries his best to fulfill his dream, despite his lack of support.
Hoop Dreams (1994)	A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.
I.Q. (1994)	Albert Einstein helps a young man who's in love with Einstein's niece to catch her attention by pretending temporarily to be a great physicist.
Star Wars (1977)	Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the universe from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader.
Jesenska pripoved (1994)	Epic tale of three brothers and their father living in the remote wilderness of 1900s USA and how their lives are affected by nature, history, war, and love.
The Madness of King George (1994)	A meditation on power and the metaphor of the body of state, based on the real episode of dementia experienced by George III [now suspected a victim of porphyria, a blood disorder]. As he ... See full summary »
Rojena morilca (1994)	Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.
Izbruh (1995)	Extreme measures are necessary to contain an epidemic of a deadly airborne virus. But how extreme, exactly?
Léon (1994)	Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.
Sund (1994)	The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
Duhovnik (2011)	A priest disobeys church law to track down the vampires who kidnapped his niece.
Kviz (1994)	A young lawyer Jim Goodwin investigates a potentially fixed game show. Charlie Van Doren, a big time show winner is under Goodwin's investigation.
Tri barve - rdeca (1994)	Final entry in a trilogy of films dealing with contemporary French society concerns a model who discovers her neighbour is keen on invading people's privacy.
Tri barve - modra (1993)	A woman struggles to find a way to live her life after the death of her husband and child.
Tri barve - bela (1994)	Second of a trilogy of films dealing with contemporary French society shows a Polish immigrant who wants to get even with his former wife.
Zvezdna vrata (1997–2007)	A secret military team, SG-1, is formed to explore the recently discovered Stargates.
The Santa Clause (1994)	When a man inadvertantly kills Santa on Christmas Eve, he finds himself magically recruited to take his place.
Kaznilnica odresitve (1994)	Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
Kaj zre Gilberta Grapea? (1993)	Gilbert has to care for his brother Arnie and his obese mother, which gets in the way when love walks into his life.
Ko si spal (1995)	Ticket collecting romantic pretends to be engaged to an unconscious man but can't fool his brother
Ace Ventura - nori detektiv (1994)	A goofy detective specializing in animals goes in search of a missing dolphin mascot of a football team.

Forrest Gump (1994)	Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him.
Stiri poroke in pogreb (1994)	Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.
Levji kralj (1994)	Lion cub and future king Simba tests his limits, supported by his family, but sometimes gets in over his head.
Maska (1994)	Bank clerk Stanley Ipkiss is transformed into a manic super-hero when he wears a mysterious mask.
Maverick (1994)	Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief.

Brother Minister: The Assassination of Malcolm X (1994)	Brother Minister reveals the mystery surrounding the assassination of Malcolm X at the Audubon Ballroom in New York City on February 21, 1965. It probes the innocence of two of the ... See full summary »
Carlitov zakon (1993)	A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.
Firma (1993)	A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.
Willy (1993)	When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale.
Begunec (1993)	Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt.
Napihnjenci 2 (1993)	"Rambo" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams.
Hulahop (1994)	A naive business graduate is installed as president of a manufacturing company as part of a stock scam.
Jurski park (1993)	During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.
Much Ado About Nothing (2012)	A modern retelling of Shakespeare's classic comedy about two pairs of lovers with different takes on romance and a way with words.
Gospodarji lutk (1994)	The Earth is invaded by alien "slugs" that ride on people's backs and control their minds.
The Ref (1994)	A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.
Ostanki dneva (1993)	A butler who sacrificed body and soul to service in the years post World War I realizes too late how misguided his loyalty has been.
Searching for Bobby Fischer (1993)	A prepubescent chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.
Romanca v Seattlu (1993)	A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.
Iztrebljevalec (1982)	A blade runner must pursue and try to terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
So I Married an Axe Murderer (1993)	A San Francisco poet who fears commitment has a girlfriend who he suspects may not be who she appears.
Predbozicna mora (1993)	Jack Skellington, king of Halloween Town, discovers Christmas Town, but doesn't quite understand the concept.
True Romance (1993)	Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.
Welcome to the Dollhouse (1995)	Insightful look at an unattractive 7th grader as she struggles to cope with un-attentive parents, snobbish classmates, a smart older brother, an attractive younger sister, and her own insecurities.
Sam doma (1990)	An 8-year old troublemaker must protect his home from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
Aladin (1992)	When a street urchin vies for the love of a beautiful princess, he uses a genie's magic power to make himself off as a prince in order to marry her.
Terminator 2 - Sodni dan (1991)	A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her young son, John Connor, from a more advanced cyborg, made out of liquid metal.
Plese z volkovi (1990)	Lt. John Dunbar, exiled to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.
Ko jagenjcki obmolknejo (1991)	A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
Snow White and the Seven Dwarfs (1937)	Snow White, pursued by a jealous queen, hides with the Dwarfs; the queen feeds her a poison apple, but the handsome prince awakens her with a kiss.
Fargo (2014– )	A drifter named Lorne Malvo arrives in small-town Minnesota and influences the population with his malice and violence, including put-upon insurance salesman Lester Nygaard.
Heavy Metal (1981)	A glowing orb terrorizes a young girl with a collection of stories of dark fantasy, eroticism and horror.
The AristoCats (1970)	With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.
All Dogs Go to Heaven 2 (1996)	Charlie and Itchy return to Earth to find Gabriel's Horn, but along the way meet up with a young boy named David, who ran away from home.
Theodore Rex (1995)	In an alternate futuristic society, a tough female police detective is paired with a talking dinosaur to find the killer of dinosaurs and other prehistoric animals leading them to a mad scientist bent on creating a new Armageddon.
Bilko Debilko (1996)	This movie is a remake of the hit series which starred, Phil Silvers as Sgt. Bilko. In this movie, Bilko runs the motor pool and has all sorts of scams going on like gambling, renting out ... See full summary »
Les diaboliques (1955)	The wife of a cruel headmaster and his mistress conspire to kill him, but after the murder is committed, his body disappears, and strange events begin to plague the two women.
Moll Flanders (1996)	The daughter of a thief, young Moll is placed in the care of a nunnery after the execution of her mother. However, the actions of an abusive priest lead Moll to rebel as a teenager, ... See full summary »
Kids in the Hall: Brain Candy (1996)	A pharmaceutical scientist creates a pill that makes people remember their happiest memory, and although it's successful, it has unfortunate side effects.
Mystery Science Theater 3000: The Movie (1996)	Mike Nelson and his robot companions watch and give their comments about "This Island Earth".
Operation Dumbo Drop (1995)	To keep the loyalty of a native village during the Vietnam war, a US Army officer and his unit struggle to deliver it a live elephant.
The Truth About Cats & Dogs (1996)	A successful veternarian & radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.
Flipper (1996)	Sandy Ricks is sent by his mom to Coral Key, a rustic island in the Florida keys, to spend the summer with his uncle Porter Ricks. Sandy dislikes everything about his new environment until ... See full summary »
Le hussard sur le toit (1995)	In a time of war and disease, a young officer gallantly tries to help a young woman find her husband.
George Wallace (1997)	Following Alabama governor George Wallace through segregation, presidential elections, an assassination attempt and personal trauma.
The Haunted World of Edward D. Wood Jr. (1995)	How was it possible that a movie like "Plan 9 from Outerspace" could be made? This documentary about Ed Wood Jr.'s masterpiece gives the answer.
Cold Comfort Farm (1995)	In England in the early 1930's, 20 year old Flora Poste, recently orphaned and left with only 100 pounds a year, goes to stay with distant relatives on Cold Comfort Farm. Everyone on the ... See full summary »
Rock the Kasbah (2015)	A washed-up music producer finds one last shot at redemption with a golden-voiced young girl in Afghanistan. However, when jealousy gets the better of a disgruntled ex-boyfriend, he decides to oppose the young star with talent of his own.
Twister (1996)	Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.
Maya Lin: A Strong Clear Vision (1994)	A film about the work of the artist most famous for her monuments such as the Vietnam Memorial Wall and the Civil Rights Fountain Memorial.
Striptiz (1996)	A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.
Dan neodvisnosti (1996)	The aliens are coming and their goal is to invade and destroy. Fighting superior technology, Man's best weapon is the will to survive.
Zgaga (1996)	A lonely and disturbed cable guy raised on television just wants a new friend, but his target, a designer, rejects him, with bad consequences.
The Frighteners (1996)	After a tragic car accident that killed his wife, a man discovers he can communicate with the dead to con people but when a demonic spirit appears, he may be the only one who can stop it from killing the living and the dead.
Samotna zvezda (1996)	When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.
Fenomen (1996)	An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.
The Spitfire Grill (1996)	Percy, upon being released from prison, goes to the small town of Gillead, to find a place where she can start over again. She is taken in by Hannah, to help out at her place, the Spitfire ... See full summary »
Boter (1972)	The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Ging chat goo si 3: Chiu kup ging chat (1992)	A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.
Bound (2015)	The daughter of a wealthy real estate broker falls in love with a younger man, who introduces her to B&D; and S&M.; Using her newly awakened sexual prowess, she finally takes charge of her own life.
Kansas City (1996)	Robert Altman's jazz-scored film explores themes of love, crime, race, and politics in 1930s Kansas City. When Blondie O'Hara's husband, a petty thief, is captured by Seldom Seen and held ... See full summary »
Breakfast at Tiffany's (1961)	A young New York socialite becomes interested in a young man who has moved into her apartment building.
The Wizard of Oz (1939)	Dorothy Gale is swept away to a magical land in a tornado and embarks on a quest to see the Wizard who can help her return home.
V vrtincu (1939)	A manipulative Southern belle carries on a turbulent affair with a blockade runner during the American Civil War.
Drzavljan Kane (1941)	Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.
2001: A Space Odyssey (1968)	Humanity finds a mysterious, obviously artificial, object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.
Mr. Smith Goes to Washington (1939)	A naive man is appointed to fill a vacancy in the US Senate. His plans promptly collide with political corruption, but he doesn't back down.
Big Night (1996)	A failing Italian restaurant run by two brothers gambles on one special night to try to save the business.
Mogocni racmani 3 (1996)	The unruly team of hockey misfits grows up a bit and receives scholarships to a prestigious prep school, where they take on the snotty varsity team.
The Love Bug (1968)	A race car driver becomes a champion with a Volkswagen Beetle with a mind of its own.
Homeward Bound: The Incredible Journey (1993)	Three pets escape from a California ranch to find their owners in San Francisco.
20,000 Leagues Under the Sea (1954)	A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.
Bedknobs and Broomsticks (1971)	An apprentice witch, three kids and a cynical conman search for the missing component to a magic spell useful to the defense of Britain.
Moje pesmi, moje sanje (1965)	A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
Umri pokoncno (1988)	John McClane, officer of the NYPD, tries to save wife Holly Gennaro and several others, taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.
Kosec (1992)	A simple man is turned into a genius through the application of computer science.
Unhook the Stars (1996)	Character study about Mildred, an elderly woman who has spent her life caring for others. When her daughter finally leaves home, she finds that, for the first time in her life, she has ... See full summary »
Poljub za lahkonoc (1996)	A woman suffering from amnesia begins to recover her memories after trouble from her past finds her again.
Prikazen in senca (1996)	Set in 1898, this movie is based on the true story of two lions in Africa that killed 35 people over a nine month period, while a bridge engineer and an experienced old hunter tried to kill... See full summary »
Jude (1996)	A stonemason steadfastly pursues a cousin he loves. However their love is troubled as he is married to a woman who tricked him into marriage and she is married to a man she does not love.
Swingers (1996)	Wannabe actors become regulars in the stylish neo-lounge scene; Trent teaches his friend Mike the unwritten rules of the scene.
Willy Wonka and the Chocolate Factory Season 2, Episode 5	Add a Plot
Sleeper (1973)	A nerdish store owner is revived out of cryostasis into a future world to fight an oppressive government.
A Fish Called Wanda (1988)	In London, four very different people team up to commit armed robbery, then try to doublecross each other for the loot.
Life of Brian (1979)	Brian is born on the original Christmas, in the stable next door. He spends his life being mistaken for a messiah.
Dirty Dancing (1987)	Spending the summer in a holiday camp with her family, Frances "Baby" Houseman falls in love with the camp's dance instructor Johnny Castle.
Stekli psi (1992)	After a simple jewelery heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant.
Vod smrti (1986)	A young recruit in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
Vikend pri Berniju (1989)	A pair of losers try to pretend that their murdered employer is really alive, but the murderer is out to "finish him off."
Prvinski nagon (1992)	A police detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved.
Glengarry Glen Ross (1992)	An examination of the machinations behind the scenes at a real estate office.
Top Gun (1986)	As students at the Navy's elite fighter weapons school compete to be best in the class, one daring young flyer learns a few things from a civilian instructor that are not taught in the classroom.
On Golden Pond (1981)	The loons are back again on Golden Pond and so are Norman Thayer, a retired professor, and Ethel who have had a summer cottage there since early in their marriage. This summer their ... See full summary »
The Return of the Pink Panther (1975)	Inspector Clouseau is put on the case when the Pink Panther diamond is stolen, with the Phantom's trademark glove the only clue.
Brezno (1989)	A civilian diving team are enlisted to search for a lost nuclear submarine and face danger while encountering an alien aquatic species.
Jean de Florette (1986)	A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.
Manon des sources (1986)	A beautiful but shy shepherdess plots vengeance on the men whose greedy conspiracy to acquire her father's land caused his death years earlier.
Private Benjamin (1980)	A sheltered young high society woman joins the United States Army on a whim and finds herself in a more difficult situation than she ever expected.
Monty Python and the Holy Grail (1975)	King Arthur and his knights embark on a low-budget search for the Grail, encountering many very silly obstacles.
The Wrong Trousers (1993)	Wallace is used by a criminal penguin in a robbery involving mechanical trousers.
Nuovo Cinema Paradiso (1988)	A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.
Delicatessen (1991)	Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.
Empire Strikes Back (23 Oct. 1980)	Add a Plot
The Princess Bride (1987)	While home sick in bed, a young boy's grandfather reads him a story called The Princess Bride.
Lov za izgubljenim zakladom (1981)	Archaeologist and adventurer Indiana Jones is hired by the US government to find the Ark of the Covenant before the Nazis.
Brazil (1985)	A bureaucrat in a retro-future world tries to correct an administrative error and himself becomes an enemy of the state.
Aliens (1986)	The planet from Osmi potnik (1979) has been colonized, but contact is lost. This time, the rescue team has impressive firepower, but will it be enough?
Dober, grd, hudoben (1966)	A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
12 jeznih moz (1957)	A dissenting juror in a murder trial slowly manages to convince the others that the case is not as obviously clear as it seemed in court.
A Clockwork Orange (1971)	In future Britain, charismatic delinquent Alex DeLarge is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem - but not all goes according to plan.
Apokalipsa zdaj (1979)	During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.
Star Wars: Episode VI - Return of the Jedi (1983)	After rescuing Han Solo from the palace of Jabba the Hutt, the rebels attempt to destroy the second Death Star, while Luke struggles to make Vader shake off of the dark side of the Force.
Dobri fantje (1990)	Henry Hill and his friends work their way up through the mob hierarchy.
Osmi potnik (1979)	The commercial vessel Nostromo receives a distress call from an unexplored planet. After searching for survivors, the crew heads home only to realize that a deadly bioform has joined them.
Army of Darkness (1992)	A man is accidentally transported to 1300 A.D., where he must battle an army of the dead and retrieve the Necronomicon so he can return home.
Psycho (1960)	A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.
Brata Blues (1980)	Jake Blues, just out from prison, puts together his old band to save the Catholic home where he and brother Elwood were raised.
Boter 2 (1974)	The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on his crime syndicate stretching from Lake Tahoe, Nevada to pre-revolution 1958 Cuba.
Full Metal Jacket (1987)	A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
A Grand Day Out (1989)	Wallace and Gromit have run out of cheese and this provides an excellent excuse for the animated duo to take their holiday on the moon, where, as everyone knows, there is ample cheese.
Henrik V (1989)	The gritty adaption of William Shakespeare's play about the English King's bloody conquest of France.
Amadeus (1984)	The incredible story of Wolfgang Amadeus Mozart, told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.
Razjarjeni bik (1980)	An emotionally self-destructive boxer's journey through life, as the violence and temper that leads him to the top in the ring, destroys his life outside it.
The Right Stuff (1983)	The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.
Zelo (1973)	In 1930s Chicago, a young con man seeking revenge for his murdered partner teams up with a master of the big con to win a fortune from a criminal banker.
The Terminator (1984)	A human-looking indestructible cyborg is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs.
Drustvo mrtvih pesnikov (1989)	English teacher John Keating inspires his students to discover their love for poetry and seize the day.
Diplomiranec (1967)	Recent college graduate Benjamin Braddock is trapped into an affair with Mrs. Robinson, who happens to be the wife of his father's business partner and then finds himself falling in love with her daughter, Elaine.
Nikita (2010–2013)	A rogue assassin returns to take down the secret organization that trained her.
The Bridge on the River Kwai (1957)	After settling his differences with a Japanese PoW camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.
The Shining (1980)	A family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future.
Evil Dead II (1987)	The lone survivor of an onslaught of flesh-possessing spirits holds up in a cabin with a group of strangers while the demons continue their attack.
Neskoncen dan (1993)	A weatherman finds himself living the same day over and over again.
Neoprosceno (1992)	Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.
Vrnitev v prihodnost (1985)	A young man is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his friend, Dr. Emmett Brown, and must make sure his high-school-age parents unite in order to save his own existence.
Patton (1970)	The World War II phase of the career of the controversial American general, George S. Patton.
Akira (1988)	A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psionic psychopath that only two kids and a group of psionics can stop.
Cyrano de Bergerac (1990)	Embarrassed by his large nose, a romantic poet/soldier romances his cousin by proxy.
Young Frankenstein (1974)	Dr. Frankenstein's grandson, after years of living down the family reputation, inherits granddad's castle and repeats the experiments.
This Is Spinal Tap (1984)	Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DeBergi on what proves to be a fateful tour.
Indiana Jones and the Last Crusade (1989)	When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana Jones must follow in his father's footsteps and stop the Nazis.
M*A*S*H (1972–1983)	The staff of an army hospital in the Korean war find that laughter is the best way to deal with their situation.
The Unbearable Lightness of Being (1988)	In 1968, a Czech doctor with an active sex life meets a woman who wants monogamy, and then the Soviet invasion further disrupts their lives.
Soba z razgledom (1985)	When Lucy Honeychurch and chaperone Charlotte Bartlett find themselves in Florence with rooms without views, fellow guests Mr Emerson and son George step in to remedy the situation. Meeting... See full summary »
Pink Floyd The Wall (1982)	A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
Polje sanj (1989)	An Iowa corn farmer, hearing voices, interprets them as a command to build a baseball diamond in his fields; he does, and the Chicago Black Sox come.
Ko je Harry srecal Sally (1989)	Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.
Drakula (1992)	The vampire comes to England to seduce a visitor's fiancée and inflict havoc in the foreign land.
Rt strahu (1991)	A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.
A Nightmare on Elm Street (1984)	Several people are hunted by a cruel serial killer who kills his victims in their dreams. When the survivors are trying to find the reason for being chosen, the murderer won't lose any chance to kill them as soon as they fall asleep.
The Mirror Has Two Faces (1996)	Rose and Gregory, both Columbia University professors meet when Rose's sister answers Gregory's "personals" ad. Several times burned, the handsome-but-boring Gregory believes that sex has ... See full summary »
Lom valov (1996)	Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.
Zvezdne steze - Prvo srecanje (1996)	Captain Picard and his crew pursue the Borg back in time to stop them from preventing Earth's first contact with an alien species. They also make sure that Zefram Cochrane makes his famous maiden flight at warp speed.
Rezilo (1996)	Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.
Smesno (1996)	To get royal backing on a needed drainage project, a poor French lord must learn to play the delicate games of wit at court at Versailles.
One Hundred and One Dalmatians (1961)	When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement.
Umri pokoncno 2 (1990)	John McClane, officer of the N.Y.P.D. and hero of the Nakatomi Hostage Crisis, attempts to avert disaster as rogue military officials seize control of Dulles International Airport in Washington, D.C.
Star Trek VI: The Undiscovered Country (1991)	On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.
Star Trek: The Wrath of Khan (1982)	With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using his son's life-generating device, the Genesis Device, as the ultimate weapon.
Star Trek III: The Search for Spock (1984)	Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body.
Star Trek IV: The Voyage Home (1986)	To save Earth from an alien probe, Admiral Kirk and his fugitive crew go back in time to 20th century Earth to retrieve the only beings who can communicate with it, humpback whales.
Batman se vrača (1992)	When a corrupt businessman and the grotesque Penguin plot to take control of Gotham City, only Batman can stop them, while the Catwoman has her own agenda.
